Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2	Names	Object ID	Regulation - genes directly activated by gene	Accession-1	Regulation - genes directly inhibited by gene	Accession-1	GO terms (biological process)	GO terms (cellular component)	GO terms (molecular function)	Transcription Units
chaB	b1217	1272119	1272349	putative cation transport regulator ChaB	ECK1211	chaB // b1217 // ECK1211	EG12402		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		chaBC
alaA	b2290	2407561	2408778	glutamate&mdash;pyruvate aminotransferase AlaA	ECK2284	alaA // yfbQ // b2290 // ECK2284	G7184		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // biosynthetic process // alanine biosynthetic process // D-alanine biosynthetic process // DNA damage response // response to antibiotic // L-alanine biosynthetic process from pyruvate	cytoplasm // cytosol	transferase activity // catalytic activity // transaminase activity // protein homodimerization activity // pyridoxal phosphate binding // L-alanine:2-oxoglutarate aminotransferase activity	alaA-yfbR // alaA
yafW	b0246	263690	264007	antitoxin of the YkfI-YafW toxin-antitoxin pair	ECK0247	yafW // b0246 // ECK0247	G6121		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	positive regulation of cytoskeleton organization	cytosol		ykfBF-yafX-ykfGH-yafW-ykfI // ykfBF-yafX-ykfGH-yafW-ykfI // ykfGH-yafW-ykfI // yafY-ykfBF-yafX-ykfGH-yafW-ykfI
nadR	b4390	4627315	4628547	DNA-binding transcriptional repressor/NMN adenylyltransferase NadR	ECK4382	nadR // nadI // b4390 // ECK4382	EG11335		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	nadB // pncB // pnuC // nadA	b2574 // b0931 // b0751 // b0750	cellular response to metal ion // response to alkaline pH // biosynthetic process // NAD biosynthetic process // phosphorylation // metabolic process // pyridine nucleotide biosynthetic process // protein homotetramerization	catalytic complex // plasma membrane // membrane // cytoplasm // adenylyltransferase complex // cytosol	transferase activity // catalytic activity // DNA binding // kinase activity // ATP binding // nucleotide binding // identical protein binding // magnesium ion binding // cis-regulatory region sequence-specific DNA binding // ribosylnicotinamide kinase activity // nicotinamide-nucleotide adenylyltransferase activity	radA-nadR
rcsF	b0196	219591	219995	sensor lipoprotein RcsF	ECK0196	rcsF // b0196 // ECK0196	EG11502		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	intracellular signal transduction // positive regulation of phosphorelay signal transduction system // cellular response to cell envelope stress // signal transduction	periplasmic side of cell outer membrane // membrane // outer membrane protein complex // outer membrane-bounded periplasmic space // cell outer membrane	protein binding	rcsF-trmO
lapB	b1280	1340558	1341727	lipopolysaccharide assembly protein B	ECK1275	lapB // yciM // b1280 // ECK1275	EG12691		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of lipid biosynthetic process // lipopolysaccharide metabolic process	cytoplasmic side of plasma membrane // membrane // plasma membrane // cytosol	protein binding // iron ion binding // metal ion binding	yciSM-pyrF-yciH // lapAB // lapAB // yciSM-pyrF-yciH // lapAB
ilvE	b3770	3952484	3953413	branched-chain-amino-acid aminotransferase	ECK3762	ilvE // b3770 // ECK3762	EG10497		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	carboxylic acid biosynthetic process // organonitrogen compound biosynthetic process // branched-chain amino acid biosynthetic process // branched-chain amino acid metabolic process // amino acid biosynthetic process // isoleucine biosynthetic process // aspartate biosynthetic process // leucine biosynthetic process // valine biosynthetic process	cytosol	L-leucine:2-oxoglutarate aminotransferase activity // transferase activity // transaminase activity // catalytic activity // L-isoleucine transaminase activity // L-valine transaminase activity // L-leucine transaminase activity // identical protein binding // branched-chain-amino-acid transaminase activity	ilvEDA // ilvLXG_1G_2MEDA // ilvLXG_1G_2MEDA
nadE	b1740	1822458	1823285	NH<sub>3</sub>-dependent NAD<sup>+</sup> synthetase	ECK1738	nadE // efg // ntrL // b1740 // ECK1738	EG10663		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	NAD biosynthetic process // DNA damage response // 'de novo' NAD biosynthetic process from aspartate // NAD salvage	cytoplasm // cytosol	glutaminase activity // protein binding // metal ion binding // ligase activity // ATP binding // nucleotide binding // NAD+ synthase (glutamine-hydrolyzing) activity // magnesium ion binding // protein homodimerization activity // NAD+ synthase activity	nadE
yfcS	b2336	2451584	2452336	putative fimbrial chaperone YfcS	ECK2330	yfcS // b2336 // ECK2330	G7207		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	chaperone-mediated protein folding // cell wall organization // pilus organization // protein folding	periplasmic space // outer membrane-bounded periplasmic space		yfcUSRQPO
rrlC	b3758	3943704	3946607	23S ribosomal RNA	ECK3752	rrlC // b3758 // ECK3752	EG30079		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	translation	cytosolic large ribosomal subunit // cytoplasm		rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC // rrsC-gltU-rrlC-rrfC
cnu	b1625	1704949	1705164	H-NS- and StpA-binding protein	ECK1621	cnu // ydgT // b1625 // ECK1621	G6869		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	bacterial nucleoid packaging // negative regulation of DNA-templated transcription // negative regulation of single-species biofilm formation on inanimate substrate // positive regulation of termination of DNA-templated transcription	bacterial nucleoid // H-NS-Cnu complex // cytosol	DNA binding // protein binding	cnu
cspB	b1557	1641339	1641554	Qin prophage; cold shock-like protein CspB	ECK1551	cspB // b1557 // ECK1551	EG12203		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of gene expression // response to cold	cytoplasm // cytosol	sequence-specific single stranded DNA binding // nucleic acid binding // single-stranded DNA binding // DNA binding // RNA binding	cspB
alaC	b2379	2497057	2498295	glutamate&mdash;pyruvate aminotransferase AlaC	ECK2375	alaC // yfdZ // b2379 // ECK2375	G7242		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // biosynthetic process // D-alanine biosynthetic process // alanine biosynthetic process // L-alanine biosynthetic process from pyruvate	cytoplasm // cytosol	transferase activity // catalytic activity // pyridoxal phosphate binding // transaminase activity // protein homodimerization activity // L-alanine:2-oxoglutarate aminotransferase activity	alaC
pncC	b2700	2823849	2824346	NMN aminohydrolase	ECK2695	pncC // ygaD // b2700 // ECK2695	G7409		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	pyridine nucleotide biosynthetic process	cytosol	hydrolase activity // nicotinamide-nucleotide amidase activity	pncC
ycgR	b1194	1243793	1244527	flagellar brake protein YcgR	ECK1182	ycgR // b1194 // ECK1182	G6623		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed // negative regulation of bacterial-type flagellum-dependent cell motility // bacterial-type flagellum-dependent cell motility	cytosol // bacterial-type flagellum basal body // bacterial-type flagellum	nucleotide binding // cyclic-di-GMP binding // protein binding	ycgR
lptE	b0641	671605	672186	lipopolysaccharide assembly protein LptE	ECK0634	lptE // rlpB // b0641 // ECK0634	EG10855		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	lipopolysaccharide transport // Gram-negative-bacterium-type cell outer membrane assembly	outer membrane // membrane // transporter complex // outer membrane-bounded periplasmic space // cell outer membrane	protein binding // lipopolysaccharide binding	leuS-lptE-holA-nadD-cobC
alr	b4053	4265782	4266861	alanine racemase 1	ECK4045	alr // alr5 // b4053 // ECK4045	EG10001		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cell wall organization // alanine metabolic process // peptidoglycan biosynthetic process // regulation of cell shape // D-alanine biosynthetic process	cytosol	isomerase activity // catalytic activity // protein homodimerization activity // pyridoxal phosphate binding // alanine racemase activity	alr // alr
nadK	b2615	2750831	2751709	NAD kinase	ECK2611	nadK // yfjE // yfjB // b2615 // ECK2611	EG12192		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	NAD metabolic process // phosphorylation // NADP biosynthetic process	cytoplasm // cytosol	metal ion binding // NAD binding // transferase activity // kinase activity // ATP binding // nucleotide binding // identical protein binding // NAD+ kinase activity	nadK
ecpB	b0292	309358	310026	putative fimbrial chaperone EcpB	ECK0291	ecpB // yagY // matC // b0292 // ECK0291	G6163		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).			protein binding	ecpBCDE // ecpBCDE
rpmI	b1717	1799802	1799999	50S ribosomal subunit protein L35	ECK1715	rpmI // b1717 // ECK1715	EG11231		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cytoplasmic translation // translation	ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic large ribosomal subunit	structural constituent of ribosome	thrS-infC-rpmI-rplT-pheMST-ihfA // infC-rpmI-rplT // rpmI-rplT
baxL	b4794	3737177	3737203	putative translational regulatory protein BaxL	ECK4651	baxL // b4794 // ECK4651	G0-17040		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of translation // negative regulation of cellular process			
ydfA	b1571	1648508	1648663	Qin prophage; DUF1391 domain-containing protein YdfA	ECK1565	ydfA // b1571 // ECK1565	EG11300		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).				ydfABC-dicFB-ydfD // ydfABC
hisG	b2019	2090192	2091091	ATP phosphoribosyltransferase	ECK2014	hisG // b2019 // ECK2014	EG10449		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // histidine biosynthetic process	cytoplasm // cytosol	glycosyltransferase activity // transferase activity // magnesium ion binding // ATP binding // nucleotide binding // metal ion binding // protein homodimerization activity // ATP phosphoribosyltransferase activity	hisLGDCBHAFI
rffG	b3788	3972522	3973589	dTDP-glucose 4,6-dehydratase 2	ECK3780	rffG // rff // b3788 // ECK3780	EG11453		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	enterobacterial common antigen biosynthetic process // nucleotide-sugar metabolic process // extracellular polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process	cytosol	lyase activity // dTDP-glucose 4,6-dehydratase activity	rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM
rseX	b4603	2033649	2033739	small regulatory RNA RseX	ECK4412	rseX // IS096 // b4603 // ECK4412	G0-10574		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA base-pairing translational repressor activity // protein binding	rseX
proQ	b1831	1914836	1915534	RNA chaperone ProQ	ECK1830	proQ // yoeC // yobE // yebJ // b1831 // ECK1830	EG12866		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	positive regulation of proline import across plasma membrane // cellular hyperosmotic salinity response // osmosensory signaling pathway // single-species biofilm formation // DNA damage response // post-transcriptional regulation of gene expression // positive regulation of transport	cytoplasm // cytosol	RNA binding // protein binding // mRNA binding // mRNA 3'-UTR binding // RNA strand-exchange activity // RNA strand annealing activity	proQ-prc
lapA	b1279	1340243	1340551	lipopolysaccharide assembly protein A	ECK1274	lapA // yciS // b1279 // ECK1274	G6637		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	lipopolysaccharide metabolic process	membrane // plasma membrane	protein binding	yciSM-pyrF-yciH // lapAB // lapAB // yciSM-pyrF-yciH // lapAB
hisC	b2021	2092398	2093468	histidinol-phosphate aminotransferase	ECK2016	hisC // b2021 // ECK2016	EG10446		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	biosynthetic process // amino acid biosynthetic process // histidine biosynthetic process	cytosol	transferase activity // transaminase activity // pyridoxal phosphate binding // identical protein binding // histidinol-phosphate transaminase activity	hisLGDCBHAFI
pncB	b0931	989154	990356	nicotinate phosphoribosyltransferase	ECK0922	pncB // b0931 // ECK0922	EG10742		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	NAD salvage // pyridine nucleotide biosynthetic process // response to heat // NAD biosynthetic process	cytosol	ligase activity, forming carbon-nitrogen bonds // ligase activity // nicotinate phosphoribosyltransferase activity	pncB
djlA	b0055	57364	58179	co-chaperone protein DjlA	ECK0056	djlA // yabH // b0055 // ECK0056	EG11570		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		plasma membrane // membrane	protein-folding chaperone binding	djlA
rpsK	b3297	3441709	3442098	30S ribosomal subunit protein S11	ECK3284	rpsK // b3297 // ECK3284	EG10910		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cytoplasmic translation // translation	ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic small ribosomal subunit	rRNA binding // RNA binding // small ribosomal subunit rRNA binding // structural constituent of ribosome // protein binding	rpsMKD-rpoA-rplQ // rpsMKD-rpoA-rplQ
pspA	b1304	1368079	1368747	phage shock protein A	ECK1299	pspA // cog // b1304 // ECK1299	EG10776		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of DNA-templated transcription // regulation of cellular response to stress // phage shock // response to heat	cytoplasmic side of plasma membrane // transcription regulator complex // cytoplasm // plasma membrane // membrane // cell pole // cytosol	phospholipid binding // identical protein binding // protein binding	pspABCDE
hisL	b2018	2089996	2090046	<i>his</i> operon leader peptide	ECK2013	hisL // b2018 // ECK2013	EG11269		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // histidine biosynthetic process	cytosol		hisL // hisLGDCBHAFI
nadA	b0750	782085	783128	quinolinate synthase	ECK0739	nadA // nicA // b0750 // ECK0739	EG10630		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	quinolinate biosynthetic process // pyridine nucleotide biosynthetic process // NAD biosynthetic process // 'de novo' NAD biosynthetic process from aspartate	cytoplasm // cytosol	iron-sulfur cluster binding // transferase activity, transferring alkyl or aryl (other than methyl) groups // transferase activity // metal ion binding // 4 iron, 4 sulfur cluster binding // quinolinate synthetase A activity	nadAp // pnuC // nadA
bluF	b1163	1214264	1215475	blue light- and temperature-regulated antirepressor BluF	ECK1150	bluF // ycgF // b1163 // ECK1150	G6603		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	blue light signaling pathway // response to stimulus // response to blue light // negative regulation of DNA-binding transcription factor activity	plasma membrane	FAD binding // blue light photoreceptor activity // photoreceptor activity // DNA-binding transcription factor binding // flavin adenine dinucleotide binding	bluF
asmA	b2064	2139759	2141612	putative assembly protein AsmA	ECK2058	asmA // yegA // b2064 // ECK2058	EG11361		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of protein targeting to membrane	periplasmic space // outer membrane-bounded periplasmic space // plasma membrane		asmA
hisH	b2023	2094535	2095125	imidazole glycerol phosphate synthase subunit HisH	ECK2018	hisH // b2023 // ECK2018	EG10450		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // glutamine metabolic process // histidine biosynthetic process	cytoplasm // cytosol // imidazoleglycerol-phosphate synthase complex	protein binding // lyase activity // hydrolase activity // glutaminase activity // pentosyltransferase activity // imidazoleglycerol-phosphate synthase activity	hisBHAFI // hisLGDCBHAFI
rfbB	b2041	2111976	2113061	dTDP-glucose 4,6-dehydratase 1	ECK2035	rfbB // som // rmlB // b2041 // ECK2035	EG12412		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	UDP-rhamnose biosynthetic process // flavonol biosynthetic process // nucleotide-sugar metabolic process // extracellular polysaccharide biosynthetic process // lipopolysaccharide biosynthetic process // O antigen biosynthetic process // dTDP-rhamnose biosynthetic process // nucleotide-sugar biosynthetic process	cytosol	UDP-glucose 4,6-dehydratase activity // UDP-L-rhamnose synthase activity // lyase activity // NAD binding // identical protein binding // dTDP-glucose 4,6-dehydratase activity	rfbBDACX
dnaJ	b0015	14168	15298	chaperone protein DnaJ	ECK0015	dnaJ // groP // grpC // b0015 // ECK0015	EG10240		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	negative regulation of DNA-templated transcription // protein-containing complex assembly // protein folding // protein refolding // DNA replication // chaperone cofactor-dependent protein refolding // viral process // protein unfolding // response to heat	protein-containing complex // membrane // cytoplasm // cytosol	protein-folding chaperone binding // metal ion binding // heat shock protein binding // ATP binding // protein disulfide isomerase activity // unfolded protein binding // zinc ion binding // protein-disulfide reductase activity // sigma factor antagonist activity // protein homodimerization activity // protein binding	dnaKJ // dnaKJ // dnaKJ
rpmC	b3312	3448568	3448759	50S ribosomal subunit protein L29	ECK3299	rpmC // b3312 // ECK3299	EG10887		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cytoplasmic translation // ribosomal large subunit assembly // translation	ribonucleoprotein complex // cytoplasm // ribosome // cytosol // cytosolic large ribosomal subunit	structural constituent of ribosome // rRNA binding // RNA binding	rpsJ-rplCDWB-rpsS-rplV-rpsC-rplP-rpmC-rpsQ
yfjY	b2644	2776386	2776868	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY	ECK2640	yfjY // b2644 // ECK2640	G7379		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	proteolysis	cytosol	metal ion binding // hydrolase activity // metallopeptidase activity // peptidase activity	yfjXY-ypjJ-yfjZ-ypjF
hisD	b2020	2091097	2092401	histidinal/histidinol dehydrogenase	ECK2015	hisD // b2020 // ECK2015	EG10447		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // histidine biosynthetic process	cytoplasm // cytosol	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor // oxidoreductase activity // NAD binding // zinc ion binding // manganese ion binding // metal ion binding // histidinol dehydrogenase activity	hisLGDCBHAFI
moaA	b0781	817044	818033	GTP 3',8'-cyclase	ECK0770	moaA // bisA // chlA // chlA1 // narA // b0781 // ECK0770	EG11595		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	response to heat // Mo-molybdopterin cofactor biosynthetic process	molybdopterin synthase complex // cytosol	cyclic pyranopterin monophosphate synthase activity // S-adenosyl-L-methionine binding // lyase activity // catalytic activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding // GTP binding // nucleotide binding // GTP 3',8'-cyclase activity	moaABCDE // moaABCDE
rraA	b3929	4118845	4119330	ribonuclease E inhibitor protein A	ECK3921	rraA // menG // yiiV // b3929 // ECK3921	EG11879		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of RNA metabolic process // negative regulation of RNA catabolic process // protein homotrimerization	cytoplasm // protein-containing complex // cytosol	4-hydroxy-4-methyl-2-oxoglutarate aldolase activity // oxaloacetate decarboxylase activity // endoribonuclease inhibitor activity // identical protein binding // enzyme binding // protein binding // ribonuclease inhibitor activity	menA-rraA // rraA // menA-rraA
hisA	b2024	2095125	2095862	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	ECK2019	hisA // b2024 // ECK2019	EG10444		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	tryptophan biosynthetic process // amino acid biosynthetic process // DNA damage response // histidine biosynthetic process	cytoplasm // cytosol	isomerase activity // 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	hisBHAFI // hisLGDCBHAFI
moeA	b0827	865129	866364	molybdopterin molybdotransferase	ECK0817	moeA // bisB // chlE // narE // b0827 // ECK0817	EG10153		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	molybdopterin cofactor biosynthetic process // molybdenum incorporation into molybdenum-molybdopterin complex // Mo-molybdopterin cofactor biosynthetic process	cytoplasm // cytosol	identical protein binding // transferase activity // metal ion binding // molybdopterin molybdotransferase activity // protein homodimerization activity // protein binding	moeAB
ydeM	b1497	1579633	1580790	putative anaerobic sulfatase maturation enzyme YdeM	ECK1491	ydeM // b1497 // ECK1491	G6787		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	DNA damage response // protein maturation	cytosol	oxidoreductase activity // catalytic activity // 4 iron, 4 sulfur cluster binding // iron-sulfur cluster binding // metal ion binding	ydeNM // ydeM
rplJ	b3985	4179996	4180493	50S ribosomal subunit protein L10	ECK3976	rplJ // b3985 // ECK3976	EG10871		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	cytoplasmic translation // negative regulation of translation // translation // regulation of translation	ribonucleoprotein complex // cytoplasm // large ribosomal subunit // ribosome // cytosol // cytosolic large ribosomal subunit	GTPase activity // large ribosomal subunit rRNA binding // ribosome binding // protein binding // rRNA binding // structural constituent of ribosome // RNA binding	rplKAJL-rpoBC // rplJL-rpoBC
yfjH	b2623	2757644	2758600	CP4-57 prophage; uncharacterized protein YfjH	ECK2619	yfjH // b2623 // ECK2619	G7359		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		yfjH
hisI	b2026	2096614	2097225	putative bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP pyrophosphatase	ECK2021	hisI // hisE // hisIE // b2026 // ECK2021	EG10451		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	metabolic process // amino acid biosynthetic process // histidine biosynthetic process	cytoplasm // cytosol	hydrolase activity // catalytic activity // ATP binding // nucleotide binding // phosphoribosyl-ATP diphosphatase activity // phosphoribosyl-AMP cyclohydrolase activity	hisBHAFI // hisLGDCBHAFI
mocA	b2877	3015160	3015738	molybdenum cofactor cytidylyltransferase	ECK2873	mocA // ygfJ // b2877 // ECK2873	G7496		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	Mo(VI)-molybdopterin cytosine dinucleotide biosynthetic process // Mo-molybdopterin cofactor biosynthetic process		transferase activity // metal ion binding // nucleotide binding // molybdenum cofactor cytidylyltransferase activity // magnesium ion binding // protein binding	mocA
gcvB	b4443	2942696	2942901	small regulatory RNA GcvB	ECK2804	gcvB // psrA11 // IS145 // b4443 // ECK2804	G0-8867		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	mRNA stabilization // positive regulation of single-species biofilm formation // negative regulation of bacterial-type flagellum-dependent cell motility // sRNA-mediated post-transcriptional gene silencing		mRNA binding	gcvB
hisF	b2025	2095844	2096620	imidazole glycerol phosphate synthase subunit HisF	ECK2020	hisF // b2025 // ECK2020	EG10448		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // histidine biosynthetic process	cytoplasm // cytosol // imidazoleglycerol-phosphate synthase complex	protein binding // lyase activity // imidazoleglycerol-phosphate synthase activity	hisBHAFI // hisLGDCBHAFI
tusA	b3470	3608751	3608996	sulfur transfer protein TusA	ECK3454	tusA // yhhP // sirA // b3470 // ECK3454	EG12216		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	L-cysteine catabolic process // tRNA processing // Mo-molybdopterin cofactor biosynthetic process // tRNA wobble position uridine thiolation	IscS-TusA complex // cytoplasm // cytosol	protein binding // sulfur carrier activity	tusA
cpxP	b4484	4105820	4106320	periplasmic protein CpxP	ECK3906	cpxP // yiiO // b3913 // b4484 // ECK3906	G7816		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	regulation of proteolysis // response to stress	periplasmic space // outer membrane-bounded periplasmic space	identical protein binding // unfolded protein binding // protein binding	cpxPQ
ssrA	b2621	2755593	2755955	tmRNA	ECK2617	ssrA // sipB // b2621 // ECK2617	EG30100		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	rescue of stalled ribosome // trans-translation-dependent protein tagging // trans-translation		protein binding // ribosome binding	ssrA
yfdN	b2357	2472387	2472881	CPS-53 (KpLE1) prophage; uncharacterized protein YfdN	ECK2351	yfdN // yzyA // b2357 // ECK2351	G7226		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		cytosol		yfdONMLK
hisB	b2022	2093468	2094535	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase	ECK2017	hisB // b2022 // ECK2017	EG10445		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	amino acid biosynthetic process // metabolic process // histidine biosynthetic process	cytoplasm // cytosol	metal ion binding // identical protein binding // protein binding // lyase activity // phosphatase activity // hydrolase activity // catalytic activity // histidinol-phosphatase activity // imidazoleglycerol-phosphate dehydratase activity	hisBHAFI // hisLGDCBHAFI
moaC	b0783	818570	819055	cyclic pyranopterin monophosphate synthase	ECK0772	moaC // chlA3 // b0783 // ECK0772	EG11666		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).		In SUBSEQ, `end' (3) is beyond the end of the sequence (0).	Mo-molybdopterin cofactor biosynthetic process	protein-containing complex // cytosol	protein binding // lyase activity // cyclic pyranopterin monophosphate synthase activity // identical protein binding	moaBCDE // moaABCDE // moaABCDE
